station_id,latitude,longitude,elevation,start_date,end_date,prcp_zero,prcp_ct,srad_ct,temp_ct,dewpt_ct,rh_ct,wspd_ct,wdir_ct,MGRS_TILE
G3447,47.91532897949219,-122.4219970703125,97.5,2023-04-26,2025-06-01,0,18271,18011,18011,18011,18011,17856,17856,10TEU
D3170,47.8608283996582,-122.00800323486328,22.600000381469727,2010-04-14,2015-11-17,0,46725,0,32756,32756,32756,32756,32756,10TEU
C5456,47.92033004760742,-122.58550262451172,15.229999542236328,2006-03-01,2025-06-01,0,164436,1,160577,160577,160577,160577,160577,10TEU
D9722,47.86988067626953,-121.96038818359376,80.0,2019-11-20,2025-05-31,0,46264,44131,44136,44129,44129,44138,44138,10TEU
D9224,47.91366958618164,-121.96717071533205,170.6999969482422,2012-01-04,2012-10-29,0,5930,0,4756,4756,4756,4756,4756,10TEU
AW887,47.860328674316406,-122.54067230224608,85.0,2024-12-25,2025-05-29,0,1454,0,1413,1413,1413,1413,1413,10TEU
E6774,47.997501373291016,-122.05400085449217,75.54000091552734,2015-03-04,2025-06-01,0,88528,0,84001,84001,84001,84001,84001,10TEU
AV507,47.930999755859375,-121.94400024414062,165.30999755859375,2019-04-17,2024-08-25,0,42009,29349,38598,31683,31683,38707,29277,10TEU
AR652,47.95550155639649,-122.35382843017578,78.30000305175781,2005-01-05,2008-05-24,0,27036,29,23280,23280,23280,23277,23277,10TEU
AV255,47.95650100708008,-122.8479995727539,188.1000061035156,2017-02-08,2020-03-06,1,24017,0,20533,3,4,20533,20533,10TEU
97S,47.911670684814446,-122.52693939208984,4.599999904632568,2010-05-05,2014-12-24,1,31409,0,0,0,0,28720,28629,10TEU
SCUW1,47.980560302734375,-122.89527893066406,27.100000381469727,2009-06-05,2025-06-01,1,129860,0,41973,0,0,0,0,10TEU
SFPW1,47.889198303222656,-122.08609771728516,9.100000381469728,2012-03-19,2021-09-30,0,81216,0,0,0,0,0,0,10TEU
F4493,47.85816955566406,-122.00817108154298,10.4399995803833,2019-02-06,2024-07-30,0,46990,45039,45091,45091,45091,45110,45110,10TEU
CMUKI,47.94839859008789,-122.306396484375,0.0,2008-02-06,2010-05-20,1,17059,0,16069,16048,16048,16015,16024,10TEU
3154D,47.85472106933594,-122.00277709960936,12.8100004196167,2020-07-15,2025-06-01,0,42475,0,41459,0,41459,41459,41459,10TEU
YG3E1,47.979198455810554,-122.20079803466795,85.0,2005-10-28,2014-01-30,0,41228,0,940,0,1015,0,0,10TEU
SNOHO,47.902698516845696,-122.1147003173828,0.0,2008-09-03,2008-10-23,1,1184,0,1167,1167,1167,1167,1167,10TEU
TMUKI,47.94900131225586,-122.30500030517578,10.100000381469728,2002-10-23,2017-05-14,0,114841,13,104692,15,15,104690,104455,10TEU
T5526,47.91630172729492,-122.20719909667967,142.60000610351562,2011-12-28,2025-05-31,1,110868,0,104751,84093,84093,86207,85429,10TEU
F3783,47.990501403808594,-122.48049926757812,1.580000042915344,2019-05-08,2022-12-14,0,28499,0,26506,26489,26489,26495,26495,10TEU
MRFW1,47.864200592041016,-121.98580169677734,15.800000190734863,2012-03-19,2021-09-30,0,79388,0,0,0,0,0,0,10TEU
G4074,47.991329193115234,-122.91532897949217,280.0,2023-11-01,2025-06-01,0,13728,13403,13403,13403,13403,13403,13403,10TEU
C1824,47.99666976928711,-122.4800033569336,20.0,2004-03-31,2010-06-24,0,49306,40,39793,39788,39788,39792,39792,10TEU
CPNOP,47.91170120239258,-122.5282974243164,0.0,2008-02-06,2010-05-20,1,17059,0,16182,16176,16176,16160,16163,10TEU
C6637,47.85900115966797,-121.6916732788086,70.0,2006-10-11,2007-01-10,0,2179,0,2048,2048,2048,2048,2048,10TEU
E8474,47.993499755859375,-122.20317077636717,31.030000686645508,2016-03-09,2025-05-31,0,80698,0,79753,79753,79753,79753,79753,10TEU
2231P,47.87099075317384,-122.5421676635742,82.90000152587889,2019-10-30,2021-02-11,1,10884,0,0,0,0,0,0,10TEU
2303P,47.91434860229492,-122.42140197753906,96.90000152587889,2019-10-30,2021-09-23,1,15723,0,0,0,0,0,0,10TEU
D1693,47.89706039428711,-122.17713928222656,116.0,2008-11-20,2024-01-25,0,132053,17570,125192,125192,125192,121536,121536,10TEU
F9546,47.99533081054688,-121.91999816894533,202.19000244140625,2021-03-31,2025-06-01,0,36388,35399,35384,35384,35399,35399,35399,10TEU
D7417,47.85617065429688,-122.21967315673828,350.0,2011-04-06,2014-09-08,0,30054,0,29215,29215,29215,29215,29215,10TEU
C7882,47.89886093139649,-122.57035827636717,55.0,2007-04-19,2018-02-03,0,82322,0,70840,70840,70840,70840,70840,10TEU
EVRMT,47.91999816894531,-122.2219009399414,145.11099243164065,2012-04-30,2025-05-31,0,71233,0,68795,0,68795,68795,68795,10TEU
GOBAR,47.85689926147461,-121.69740295410156,61.875,2012-04-30,2025-02-13,0,84674,0,77952,0,77952,77952,77952,10TEU
E4289,47.99116897583008,-122.53782653808592,18.0,2014-01-29,2015-01-08,0,8274,0,7837,7837,7837,7875,7875,10TEU
AU786,47.87833023071289,-122.14766693115232,121.0,2013-12-13,2016-04-03,0,18970,0,17991,17991,17991,17991,17991,10TEU
D9622,47.91999816894531,-121.9833297729492,196.0,2012-02-15,2024-01-31,0,70203,59958,68203,68203,68203,68203,68182,10TEU
SNWW1,47.98471832275391,-122.8852767944336,16.799999237060547,2016-12-09,2025-05-31,1,59598,0,16345,0,0,0,0,10TEU
C7649,47.87133026123047,-121.79617309570312,91.0999984741211,2007-03-07,2008-06-10,0,11065,0,10359,10359,10359,10359,10359,10TEU
E4680,47.90932846069336,-122.08866882324217,40.0,2014-03-05,2014-09-06,0,4423,0,4211,4211,4211,4211,4211,10TEU
2278P,47.85808181762695,-122.0082321166992,10.100000381469728,2019-10-30,2021-09-23,1,16677,0,0,0,0,0,0,10TEU
D1397,47.894649505615234,-122.0009765625,115.0,2008-09-24,2008-12-12,0,1787,0,1692,1692,1692,1692,1692,10TEU
D9208,47.98667144775391,-122.4625015258789,41.0,2012-01-05,2015-02-07,0,11635,0,1978,1978,1978,1978,1978,10TEU
THOOD,47.8583984375,-122.62159729003906,3.0,2003-04-23,2024-07-16,0,112043,0,71685,50554,50556,90002,89948,10TEU
C8060,47.88383102416992,-121.88533020019533,110.0,2009-08-26,2015-12-13,0,39851,13060,35000,35000,35000,35000,35000,10TEU
F9043,47.9995002746582,-122.12149810791016,82.30000305175781,2021-01-27,2024-09-03,0,31544,0,30782,30782,30782,30782,30782,10TEU
C8405,47.88159942626953,-122.57572937011717,25.0,2007-07-27,2025-05-31,0,146734,82072,136735,136735,136735,139665,139665,10TEU
SLRW1,47.877201080322266,-122.20140075683592,146.3000030517578,2012-03-19,2021-09-30,0,80535,0,0,0,0,0,0,10TEU
SLKW1,47.97444152832031,-121.68611145019533,448.1000061035156,2012-03-28,2023-08-22,1,99803,0,0,0,0,0,0,10TEU
D9261,47.8513298034668,-122.1291732788086,171.0,2012-02-25,2014-07-19,0,423,0,11,11,11,11,11,10TEU
C9633,47.900001525878906,-122.19999694824217,125.0,2008-01-23,2014-11-09,1,44940,0,44304,44304,44304,44304,44304,10TEU
D3008,47.87636947631836,-122.19537353515624,140.0,2009-06-17,2024-12-19,0,89060,0,83286,83281,83282,83264,83264,10TEU
T5SR2,47.98030090332031,-122.18800354003906,3.0,2011-12-28,2025-05-31,1,106469,0,82011,72081,72091,99373,44085,10TEU
TRBW1,47.86888885498047,-122.81582641601562,29.0,2016-12-09,2025-05-31,1,72036,0,22275,0,0,0,0,10TEU
AT979,47.91366958618164,-122.70616912841795,45.0,2011-02-16,2011-02-24,0,189,0,45,45,45,45,45,10TEU
E7231,47.91366958618164,-122.70616912841795,57.0,2015-05-06,2017-11-10,0,13215,0,11759,11759,11759,11759,11759,10TEU
2315P,47.87538909912109,-122.20657348632812,139.89999389648435,2019-10-30,2020-09-12,1,7645,0,0,0,0,0,0,10TEU
AR183,47.987499237060554,-122.52967071533205,76.0,2003-11-05,2010-09-21,0,46520,6,39591,39589,39589,39587,39587,10TEU
2237P,47.91682815551758,-122.5801010131836,34.099998474121094,2019-10-30,2021-09-23,1,16673,0,0,0,0,0,0,10TEU
E1278,47.848331451416016,-122.10916900634768,129.5,2013-01-23,2016-10-22,0,32810,0,31708,31708,31708,31708,31708,10TEU
G2704,47.921329498291016,-122.09317016601562,83.0,2022-12-07,2025-06-01,0,20640,18926,18926,18926,18926,18926,14643,10TEU
C6769,47.92617034912109,-121.9491729736328,214.83999633789065,2006-11-08,2021-07-01,0,18517,0,17457,17457,17457,17457,17457,10TEU
VPFW1,47.855281829833984,-120.89028167724608,1126.199951171875,2001-07-01,2025-05-31,0,168556,145919,152023,151150,153136,154255,140168,10TFU
ROKW1,47.96916961669922,-120.78888702392578,755.9000244140626,2009-06-05,2011-10-25,1,20627,0,6200,0,0,0,0,10TFU
SNGW1,47.89278030395508,-121.440559387207,353.0,2025-01-03,2025-06-01,1,3414,0,2967,0,0,0,0,10TFU
LITW1,47.84944152832031,-120.94416809082033,634.0,2009-06-05,2012-09-26,1,28648,0,8819,0,0,0,0,10TFU
WHIW1,47.87472152709961,-120.86917114257812,573.0,2009-06-05,2025-06-01,1,139299,0,49694,0,0,0,0,10TFU
LWNW1,47.83721923828125,-120.79833221435545,610.7999877929688,2009-06-05,2024-08-07,0,123440,0,0,0,0,0,0,10TFU
ERNW1,47.987499237060554,-120.5713882446289,810.7999877929686,2009-06-05,2016-07-21,1,51118,0,15898,0,0,0,0,10TFU
EREW1,47.98249816894531,-120.5727767944336,792.5,2009-06-05,2009-10-13,1,3092,0,939,0,0,0,0,10TFU
PPRW1,47.9900016784668,-120.5699996948242,1079.0,2001-07-01,2025-05-31,0,207802,53,144122,1,1,0,0,10TFU
ERDW1,47.85667037963867,-120.4222183227539,493.7999877929688,2009-06-05,2009-10-12,1,3074,0,916,0,0,0,0,10TFU
BZRW1,47.99850082397461,-120.36840057373045,1383.3580322265625,2023-09-13,2025-05-31,0,14881,0,0,0,0,0,0,10TFU
DIR60,47.867000579833984,-120.81700134277344,1825.5,2006-10-18,2025-05-31,1,148161,0,126601,126544,126623,125349,113305,10TFU
CHIW1,47.837501525878906,-120.6611099243164,639.2000122070312,2016-12-09,2025-05-31,0,73025,0,0,0,0,0,0,10TFU
F4198,47.854000091552734,-121.63800048828124,134.6999969482422,2004-12-08,2020-02-08,0,4426,21,4228,4228,4228,4229,515,10TFU
LCRW1,47.93777847290039,-120.51611328125,690.4000244140625,2009-06-05,2009-10-12,1,3071,0,928,0,0,0,0,10TFU
ERTW1,47.96443939208984,-120.55027770996092,746.7999877929686,2009-06-05,2009-10-12,1,3071,0,919,0,0,0,0,10TFU
C06DX,47.922901153564446,-120.89430236816406,543.7999877929688,2012-04-18,2016-05-17,1,34895,0,0,0,0,0,0,10TFU
RECW1,47.96500015258789,-120.5505599975586,909.4509887695312,2016-12-09,2018-02-15,1,8423,0,6635,0,0,0,0,10TFU
C9715,47.840328216552734,-120.00917053222656,344.0,2008-01-30,2010-01-24,0,14444,0,13097,13097,13097,13097,13097,10TGU
CHLAN,47.83990097045898,-120.01270294189452,416.0570068359375,2012-04-30,2015-10-25,0,27700,0,26335,0,26335,26335,26335,10TGU
SRDW1,47.946388244628906,-120.24722290039062,1372.199951171875,2016-12-09,2025-02-01,0,69589,0,0,0,0,0,0,10TGU
C5395,47.888328552246094,-120.15216827392578,386.0,2006-02-23,2008-05-24,0,18967,0,13319,13319,13319,13319,13319,10TGU
MANW1,47.91722106933594,-120.13166809082033,601.0999755859375,2009-06-04,2013-05-30,0,34682,0,32300,32300,32300,32299,31255,10TGU
D9139,47.86349868774414,-120.08866882324217,350.0,2011-12-28,2024-09-23,0,111472,97035,106404,106401,106401,106404,106404,10TGU
TT221,47.968799591064446,-120.0177993774414,1060.699951171875,2013-09-20,2014-06-25,0,3273,3167,3167,3167,3167,3167,3164,10TGU
2210P,47.85837936401367,-120.04109954833984,476.1000061035156,2019-10-30,2021-09-23,1,16677,0,0,0,0,0,0,10TGU
TS983,47.85829925537109,-120.25810241699217,1228.300048828125,2011-05-09,2013-05-25,0,9601,9161,9161,9161,9161,9161,9161,10TGU
G3558,47.95582962036133,-120.2405014038086,1463.949951171875,2023-05-31,2025-06-01,0,16096,0,15083,15083,15149,15151,15150,10TGU
2219P,47.8420295715332,-120.0180206298828,342.8999938964844,2019-10-30,2021-09-23,1,16677,0,0,0,0,0,0,10TGU
AU823,47.916500091552734,-120.17700195312499,381.0,2014-02-05,2014-03-08,0,731,674,676,676,676,676,282,10TGU
2221P,47.85541915893555,-120.03305053710936,449.0,2019-10-30,2021-09-23,1,16509,0,0,0,0,0,0,10TGU
TR757,47.94889831542969,-120.03780364990232,1127.800048828125,2002-10-28,2011-03-10,0,32187,29547,29923,29915,29933,29847,29820,10TGU
E5811,47.916500091552734,-120.17700195312499,387.2799987792969,2014-09-10,2021-10-05,0,60377,30862,57710,57708,57709,57712,39271,10TGU
MASW,47.91693878173828,-120.1244430541992,601.0999755859375,2004-04-05,2025-06-01,0,184790,143524,150606,150502,150605,148366,146557,10TGU
TT220,47.834838867187514,-120.21817016601562,670.5999755859375,2015-04-29,2025-04-09,0,14003,13551,13822,13822,13822,13819,13065,10TGU
TQUEE,47.535999298095696,-124.33300018310545,21.899999618530277,2006-02-01,2025-05-31,1,165861,0,141810,141651,141727,143778,133443,10TCT
F5771,47.14933013916016,-123.04049682617188,33.47999954223633,2019-07-31,2025-05-31,0,47738,0,38876,38876,38876,47173,47173,10TDT
AP172,46.98332977294922,-123.82749938964844,87.19000244140625,2001-09-12,2011-11-17,0,87947,58,80066,80064,80063,80064,80064,10TDT
TCAMP,47.14020156860351,-123.89230346679688,0.0,2006-02-01,2025-05-31,1,153861,0,121387,120460,120547,135597,115035,10TDT
PCBCH,47.208301544189446,-124.19999694824217,4.572000026702882,2012-04-30,2018-06-21,0,48268,0,46412,0,46412,46412,46412,10TDT
SHELN,47.23310089111328,-123.118896484375,74.81700134277344,2012-05-27,2014-11-09,0,17990,0,17356,0,17356,17356,17356,10TDT
C1499,46.990501403808594,-123.62966918945312,67.0,2003-12-28,2004-02-12,1,460,0,24,24,24,24,24,10TDT
MTCW1,47.76369857788086,-123.0260009765625,1207.0,1970-01-01,2025-05-31,0,480165,46,130702,3,3,3,3,10TDT
SHLTN,47.33440017700195,-123.16079711914062,9.144000053405762,2012-04-30,2025-05-31,0,98902,0,95801,0,95801,95801,95801,10TDT
C4639,47.283329010009766,-123.033332824707,86.0,2006-01-25,2006-01-27,0,32,0,4,4,4,4,4,10TDT
PS019,47.10139083862305,-123.01085662841795,44.799999237060554,2024-07-03,2025-05-31,1,7796,0,7100,7100,7100,7100,6985,10TDT
D1622,47.10699844360351,-124.17832946777344,5.0,2008-11-07,2020-01-06,0,97068,59087,91740,91549,91549,95146,95144,10TDT
2160P,47.20186996459961,-123.09790802001952,63.09999847412109,2019-10-30,2020-07-15,1,6230,0,0,0,0,0,0,10TDT
WFSW1,47.17943954467773,-123.55944061279298,91.0999984741211,2012-03-21,2025-06-01,0,115505,0,112504,0,0,0,0,10TDT
OCS,47.00917053222656,-124.15917205810545,4.599999904632568,2010-03-31,2014-07-09,1,28411,0,0,0,0,23370,23367,10TDT
D7098,46.97999954223633,-123.836669921875,40.0,2011-02-23,2025-06-01,0,124834,0,120618,0,0,120583,120583,10TDT
F8331,47.211669921875,-123.03382873535156,39.25,2020-09-23,2021-12-26,0,11027,0,10713,10713,10713,10713,2513,10TDT
C2568,47.3128318786621,-123.12832641601562,145.0,2004-10-07,2009-06-11,0,27932,15,16431,16419,16419,16399,16399,10TDT
E4248,47.00577163696289,-123.41455841064452,18.0,2014-01-08,2017-08-14,0,31522,0,31070,31070,31070,31070,31070,10TDT
CPXW1,47.100830078125,-124.07250213623045,19.799999237060547,2025-01-22,2025-05-31,1,2957,0,2681,0,0,0,0,10TDT
QTCW1,47.51388931274414,-123.8119430541992,87.19999694824217,2008-07-09,2025-06-01,0,36804,16869,32222,17772,23021,9190,0,10TDT
KHQM,46.97111129760742,-123.91999816894533,4.0,2021-02-03,2021-02-17,1,336,0,336,336,336,336,336,10TDT
WXXW1,47.31972122192384,-123.5802764892578,378.8999938964844,2022-12-07,2025-05-31,0,18903,0,11949,0,0,0,0,10TDT
NGA68,47.11709976196289,-123.7698974609375,13.399999618530272,2025-03-13,2025-05-31,1,1706,0,65,58,58,62,62,10TDT
AMANP,47.45940017700195,-123.89769744873045,99.9749984741211,2012-05-10,2018-11-03,0,55460,0,49502,0,49502,49502,49502,10TDT
D9771,46.94766998291016,-124.1373291015625,7.300000190734864,2012-03-07,2025-05-31,0,114462,0,106015,107043,107241,111877,111877,10TDT
WSKW1,47.10943984985351,-123.7880630493164,18.299999237060547,2023-03-15,2025-06-01,1,19198,0,16599,0,0,0,0,10TDT
ABEDN,47.11777114868164,-123.77130126953124,63.1349983215332,2012-04-30,2025-05-31,0,109677,1,105524,0,105524,105524,105524,10TDT
MONTE,46.9828987121582,-123.4968032836914,7.900000095367432,2008-09-03,2008-10-24,1,1225,0,1126,1126,1126,1126,1126,10TDT
MCCLE,47.049999237060554,-123.2658004760742,120.09200286865232,2012-04-30,2025-06-01,0,102234,1,98791,0,98791,98791,98791,10TDT
6353D,47.351387023925774,-123.10277557373045,112.23999786376952,2020-10-16,2022-12-24,0,11603,0,10743,0,10743,10743,10743,10TDT
C3222,46.973831176757805,-124.15467071533205,13.0,2005-01-26,2006-11-12,0,15170,57,14428,14428,14428,14428,14428,10TDT
TGREN,47.302898406982415,-124.25039672851562,33.5,2006-02-01,2025-06-01,1,154931,0,135706,135070,135074,136092,133721,10TDT
MFDW1,47.28166961669922,-123.44082641601562,178.89999389648435,2012-03-21,2025-06-01,0,106769,0,103940,0,0,0,0,10TDT
SKOW1,47.51443862915039,-123.32861328125,232.3000030517578,2009-06-04,2025-06-01,0,131016,0,127209,0,0,0,0,10TDT
CSHW1,47.42390060424805,-123.2197036743164,231.6000061035156,2010-05-19,2025-05-27,0,117912,0,0,0,0,0,0,10TDT
D3348,47.17916870117188,-123.95832824707033,50.0,2009-08-26,2025-06-01,0,137661,104347,134005,134005,134005,133317,133317,10TDT
2279P,47.21393966674805,-123.10086059570312,4.900000095367432,2019-10-30,2021-09-23,1,16677,0,0,0,0,0,0,10TDT
F8528,47.42782974243164,-123.2123336791992,238.08999633789065,2020-10-28,2025-06-01,0,40092,39565,39565,39565,39565,39565,39565,10TDT
D0707,47.00382995605469,-124.15200042724608,4.599999904632568,2008-06-18,2025-06-01,0,147693,31439,142543,142543,142543,141529,141529,10TDT
HWRW1,47.321388244628906,-123.5955581665039,643.7470092773438,2012-03-21,2021-06-17,0,72244,0,69978,0,0,0,0,10TDT
CQMW1,47.133888244628906,-123.31082916259768,107.9000015258789,2022-11-26,2025-05-31,0,19107,0,11804,0,0,0,0,10TDT
BKHW1,47.708599090576165,-123.4574737548828,1484.4000244140625,2009-09-26,2025-06-01,0,133947,106992,100622,74001,94686,0,0,10TDT
OLFW1,47.766109466552734,-123.96527862548828,1035.699951171875,2001-07-01,2025-05-31,0,127130,109137,115078,114783,115059,115050,110925,10TDT
HUFW1,47.36722183227539,-123.75833129882812,731.5,2001-07-05,2025-05-31,0,189462,157224,166630,166331,168313,168211,162646,10TDT
3789P,47.20301055908203,-123.97354125976562,61.0,2020-05-09,2021-03-16,1,7286,0,0,0,0,0,0,10TDT
MASN1,47.13140106201172,-123.47499847412108,77.99199676513672,2012-04-30,2014-08-08,0,5645,0,5078,0,5078,5078,5078,10TDT
THLHP,47.34410095214844,-124.2876968383789,9.144000053405762,2012-05-01,2025-05-31,0,95194,0,91652,0,91652,91652,91652,10TDT
TCAND,47.03379821777344,-123.0970993041992,171.3000030517578,2001-07-01,2025-05-31,0,186272,12,165533,165535,165532,162200,136358,10TDT
D3291,47.219669342041016,-124.20467376708984,17.0,2009-08-12,2009-11-07,0,2068,0,1953,1953,1953,1953,1953,10TDT
TOYST,47.084999084472656,-123.03299713134768,29.899999618530277,2006-02-02,2025-06-01,1,159364,0,141065,140243,140243,146687,135703,10TDT
JEFW1,47.54909896850586,-123.21759033203124,734.0,2001-07-03,2025-05-31,0,179350,155005,161742,161675,162028,161161,142646,10TDT
BRDEN,46.979400634765625,-123.81809997558592,71.18699645996094,2012-04-30,2025-05-31,0,103586,1,100495,0,100495,100495,100495,10TDT
SC03,47.816600799560554,-123.70600128173828,2038.7863769531248,2005-03-25,2016-08-01,0,88119,82,55857,121,54848,396,396,10TDT
WSHW1,47.10943984985351,-123.7880630493164,18.299999237060547,2022-11-23,2023-01-04,1,980,0,468,0,0,0,0,10TDT
AP886,47.28533172607422,-123.05467224121092,81.27999877929686,2003-05-28,2025-05-31,0,124593,81338,117790,117790,117790,117782,117780,10TDT
D4784,47.36417007446289,-123.15632629394533,2.700000047683716,2010-03-24,2025-05-19,0,115218,0,113152,109820,109820,113152,113152,10TDT
TR862,47.41360855102539,-124.10305786132812,179.1999969482422,2003-06-04,2003-06-04,1,4,0,4,4,4,4,4,10TDT
2299P,46.975830078125,-123.88153076171876,3.0,2021-08-18,2021-09-23,1,864,0,0,0,0,0,0,10TDT
TEBW1,47.459999084472656,-123.41000366210936,1031.4000244140625,2021-02-17,2025-06-01,0,36951,0,21862,0,0,0,0,10TDT
EKMW1,47.283329010009766,-123.63333129882812,193.8999938964844,2016-12-09,2025-05-31,0,65596,0,0,0,0,0,0,10TDT
E0868,46.96282958984375,-123.71717071533205,19.0,2012-08-31,2025-05-31,0,110871,0,106409,106409,106409,106409,106409,10TDT
TR341,47.616661071777344,-123.41665649414062,200.6000061035156,2002-08-29,2002-08-30,1,23,0,23,23,23,23,23,10TDT
D03DX,47.534698486328125,-123.08940124511717,261.79998779296875,2012-04-18,2016-06-15,1,35003,0,0,0,0,0,0,10TDT
KSHN,47.238059997558594,-123.14083099365232,82.0,2021-02-03,2021-02-17,1,336,0,336,336,336,336,336,10TDT
BKBW1,47.413738250732415,-124.10310363769533,188.3999938964844,2003-06-04,2025-05-31,0,190560,178778,181473,180351,181727,181590,165369,10TDT
2309P,47.339088439941406,-124.28550720214844,29.0,2019-10-30,2020-01-12,1,1783,0,0,0,0,0,0,10TDT
CDVW1,47.41889190673828,-121.78028106689452,335.8999938964844,2022-11-23,2025-05-31,1,21772,0,20714,0,0,0,0,10TET
AS213,47.30833053588867,-122.38500213623045,104.9000015258789,2006-04-26,2006-10-02,0,3816,0,3517,3517,3517,3517,3517,10TET
TABRN,47.30350112915039,-122.23290252685545,7.599999904632568,2011-12-28,2025-05-31,1,100999,0,93808,91969,93760,94272,76277,10TET
C5316,47.44260025024414,-121.7679214477539,307.8999938964844,2006-02-08,2025-06-01,0,153376,37214,144347,144347,144347,144260,144260,10TET
2162P,47.689231872558594,-122.048828125,163.10000610351562,2019-10-30,2021-09-23,1,16677,0,0,0,0,0,0,10TET
PS020,47.02040100097656,-122.99726104736328,10.100000381469728,2024-07-03,2025-04-22,1,7033,0,6756,6756,6756,6756,5321,10TET
TWALK,47.75469970703125,-122.89320373535156,143.0,2006-02-01,2025-05-31,1,163560,0,140557,140552,140559,141442,135044,10TET
C7275,47.35396957397461,-122.02409362792967,168.0,2007-09-05,2012-02-04,0,36633,0,32184,32107,32107,32184,32184,10TET
2222P,47.47066879272461,-121.9921875,263.0,2019-10-30,2021-09-23,1,16676,0,0,0,0,0,0,10TET
2224P,47.62297058105469,-122.28856658935545,39.900001525878906,2019-10-30,2021-09-23,1,16464,0,0,0,0,0,0,10TET
TCMTH,47.2578010559082,-122.39810180664062,17.131999969482422,2012-04-30,2014-10-29,0,21132,0,20443,0,20443,20443,20443,10TET
SETLE,47.63219833374024,-122.30829620361328,24.702999114990234,2012-04-30,2014-10-24,0,21288,0,20720,0,20720,20720,20720,10TET
MDNWS,47.62110137939453,-122.22989654541016,3.04800009727478,2012-04-30,2023-08-18,0,94943,0,90630,0,90630,90630,90630,10TET
D0353,47.077919006347656,-122.96034240722656,50.0,2008-04-16,2014-08-03,0,53649,0,48659,48657,48657,47413,47413,10TET
ENUMU,47.14099884033203,-121.93299865722656,303.8999938964844,2005-07-13,2018-07-02,1,103685,55,86665,0,0,85911,84737,10TET
MDNST,47.616661071777344,-122.2335968017578,3.049999952316284,2020-07-15,2025-05-31,0,12466,0,12090,0,12090,12090,12090,10TET
D8393,47.54399871826172,-121.92582702636717,1076.0,2011-09-19,2011-12-13,1,2025,0,1177,1177,1177,1177,1177,10TET
